holdType,homeType,noBed,soldPrice,usage,latitude,longitude
1,1,3,307500,1,51.35615439,-2.377932681
1,1,3,340000,1,51.37234328,-2.393164845
1,3,2,257500,1,51.38543888,-2.383922108
2,3,4,495000,1,51.37427095,-2.375812
2,4,2,250000,1,51.37979944,-2.364750477
1,1,3,280000,1,51.35726119,-2.380455041
1,3,4,790000,1,51.371871,-2.364518456
2,1,2,284000,1,51.39328213,-2.3202881090000003
1,3,3,265000,1,51.4110482,-2.317507925
1,1,2,237000,1,51.37529765,-2.4022557819999997
1,1,4,460000,1,51.40434226,-2.313493636
1,3,2,285000,1,51.39947529,-2.3493249819999997
1,3,4,795000,1,51.39365199,-2.348217011
1,1,4,385000,1,51.36689999,-2.391466291
1,3,2,225000,1,51.35912422,-2.382682232
1,3,4,950000,1,51.39463735,-2.346442234
1,2,3,380000,1,51.4034027,-2.340830049
1,3,2,320000,1,51.3781905,-2.384249362
2,4,1,194000,1,51.382385,-2.366582
1,2,3,359950,1,51.35234264,-2.37770026
1,3,3,291000,1,51.396733,-2.397686
2,4,1,140000,1,51.387977,-2.363781
1,3,3,304000,1,51.36365348,-2.380709127
1,1,3,325000,1,51.40384702,-2.323668437
1,3,3,281000,1,51.37092037,-2.388440706
1,3,2,240000,1,51.37523551,-2.388707121
2,4,1,270000,1,51.38750609,-2.358675428
1,1,3,385000,1,51.40346584,-2.328165387
1,2,5,480000,1,51.36563845,-2.36718
2,3,4,512000,1,51.37606276,-2.360597349
1,3,3,229000,1,51.37787738,-2.405123245
1,1,5,565000,1,51.39140588,-2.395771573
1,1,3,585000,1,51.37043926,-2.370422258
2,4,2,207000,1,51.39696822,-2.342693911
1,1,3,250000,1,51.3712156,-2.391589311
2,4,2,210000,1,51.39285783,-2.34918831
2,1,6,1200000,1,51.39462029,-2.3491586190000002
1,1,6,1300000,1,51.38727619,-2.39128
1,1,6,2200000,1,51.39655675,-2.368635364
1,2,4,500000,1,51.39291677,-2.319078261
1,1,6,1025000,1,51.37474376,-2.371218464
1,1,4,998000,1,51.39166477,-2.360130813
2,4,2,210000,1,51.37117604,-2.379018931
1,3,3,330000,1,51.39916341,-2.348373886
1,1,4,1200000,1,51.37300727,-2.35415158
1,2,4,555000,1,51.36370967,-2.368659
